id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
4940,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2011.0,Casual,Gini and Jony Boys Karnel Jeans
7266,Men,Apparel,Bottomwear,Track Pants,Cream,Summer,2011.0,Casual,Timberland Men's Twill 5 Oats Beige Pant
8901,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Formal,Indigo Nation Men PV stretch Grey Trousers
8946,Men,Apparel,Bottomwear,Trousers,Beige,Fall,2011.0,Casual,Indigo Nation Men ID Printed Beige Trousers
9852,Men,Apparel,Bottomwear,Trousers,Beige,Fall,2011.0,Formal,Indian Terrain Men Jason Beige Trousers
11263,Men,Apparel,Bottomwear,Trousers,Beige,Fall,2011.0,Casual,Indigo Nation Men PV Plan Beige Trousers
14691,Men,Apparel,Bottomwear,Trousers,Tan,Fall,2011.0,Casual,Basics Men Tan Trousers
16019,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011.0,Casual,Turtle Check Men Grey Trouser
16390,Men,Apparel,Bottomwear,Trousers,Olive,Spring,2013.0,Formal,Peter England Men Solid Olive Trouser
16504,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Locomotive Men Washed Blue Jeans
22786,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011.0,Casual,Deni Yo Men Washed Blue Jeans
28630,Men,Apparel,Bottomwear,Track Pants,Grey,Summer,2012.0,Sports,Nike Men Pintuck Grey Track Pants
30606,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Sports,Nike Men Running Blue Shorts
32452,Men,Apparel,Bottomwear,Shorts,Black,Winter,2015.0,Sports,ADIDAS Men Black Shorts
40110,Men,Apparel,Bottomwear,Tracksuits,Blue,Summer,2012.0,Casual,ADIDAS Men Blue Tracksuit
44288,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,Indian Terrain Men Black Trousers
44913,Men,Apparel,Bottomwear,Track Pants,White,Summer,2012.0,Casual,Puma Men White Track Pants
46400,Men,Apparel,Bottomwear,Shorts,Grey Melange,Summer,2012.0,Casual,ADIDAS Men Grey Shorts
51398,Men,Apparel,Bottomwear,Shorts,White,Summer,2012.0,Casual,Myntra Men Green Check Shorts
56822,Men,Apparel,Bottomwear,Trousers,Beige,Summer,2012.0,Casual,John Players Men Beige Shorts
1566,Men,Accessories,Headwear,Caps,Black,Summer,2011.0,Sports,Artengo Men Black Cap
2467,Men,Accessories,Headwear,Caps,White,Summer,2012.0,Casual,Nike Men White Cap
7619,Men,Accessories,Headwear,Caps,Blue,Summer,2011.0,Casual,Wrangler Men Light Blue Canvas Cap
7736,Men,Accessories,Headwear,Caps,Red,Fall,2011.0,Casual,Puma Men Ferrari Lifestyle Red Cap
13818,Men,Accessories,Headwear,Caps,Navy Blue,Fall,2011.0,Casual,Proline Men Navy & Grey Colourblocked Beanie
18207,Men,Accessories,Headwear,Caps,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Cap
19433,Men,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Quiksilver Men Black Beanie Cap
19439,Men,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Quiksilver Men Black Qsacc Cap
19971,Men,Accessories,Headwear,Caps,Purple,Fall,2011.0,Casual,United Colors of Benetton Men Solid Purple Cap
28609,Men,Accessories,Headwear,Caps,Grey,Summer,2012.0,Casual,Nike Men Classic Swoosh Grey Cap
34794,Men,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Flying Machine Men Black Hat
40772,Men,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Quiksilver Men Red Firtsy Roundtails Cap
41027,Men,Accessories,Headwear,Caps,Brown,Summer,2012.0,Casual,Lee Men Brown Cap
41028,Men,Accessories,Headwear,Caps,Olive,Summer,2012.0,Casual,Lee Men Olive Cap
41511,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Basics Men Blue Beret Cap
48537,Men,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Wrangler Men Red Check Cap
49233,Men,Accessories,Headwear,Caps,Blue,Fall,2012.0,Casual,Arrow Men Blue Cap
49235,Men,Accessories,Headwear,Caps,Navy Blue,Fall,2012.0,Casual,Arrow Men Navy Blue Cap
49790,Men,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Flying Machine Men Black Cap
58154,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Puma Men Blue Cap
3187,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Black Shoe
3695,Men,Footwear,Shoes,Casual Shoes,White,Summer,2011.0,Casual,Lotto Men's Rio Velcro White Indigo Shoe
5582,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men's Main Draw White Red Shoe
